OMRÅDE;TID;INDHOLD
Hele landet;2020K4;5837213
Region Hovedstaden;2020K4;1854296
København;2020K4;637936
Frederiksberg;2020K4;104351
Dragør;2020K4;14497
Tårnby;2020K4;42757
Albertslund;2020K4;27500
Ballerup;2020K4;48978
Brøndby;2020K4;35215
Gentofte;2020K4;74623
Gladsaxe;2020K4;69203
Glostrup;2020K4;23342
Herlev;2020K4;28914
Hvidovre;2020K4;53448
Høje-Taastrup;2020K4;51238
Ishøj;2020K4;23059
Lyngby-Taarbæk;2020K4;56624
Rødovre;2020K4;41025
Vallensbæk;2020K4;16483
Allerød;2020K4;25871
Egedal;2020K4;43471
Fredensborg;2020K4;40980
Frederikssund;2020K4;45489
Furesø;2020K4;40955
Gribskov;2020K4;41110
Halsnæs;2020K4;31518
Helsingør;2020K4;63047
Hillerød;2020K4;51261
Hørsholm;2020K4;24919
Rudersdal;2020K4;56873
Bornholm;2020K4;39519
Christiansø;2020K4;90
Region Sjælland;2020K4;838129
Greve;2020K4;50561
Køge;2020K4;61323
Lejre;2020K4;28133
Roskilde;2020K4;88758
Solrød;2020K4;23394
Faxe;2020K4;36605
Guldborgsund;2020K4;60309
Holbæk;2020K4;71812
Kalundborg;2020K4;48415
Lolland;2020K4;40618
Næstved;2020K4;83049
Odsherred;2020K4;32857
Ringsted;2020K4;34872
Slagelse;2020K4;79106
Sorø;2020K4;29977
Stevns;2020K4;22975
Vordingborg;2020K4;45365
Region Syddanmark;2020K4;1223183
Assens;2020K4;40791
Faaborg-Midtfyn;2020K4;51562
Kerteminde;2020K4;23833
Langeland;2020K4;12350
Middelfart;2020K4;39026
Nordfyns;2020K4;29586
Nyborg;2020K4;31918
Odense;2020K4;205881
Svendborg;2020K4;58355
Ærø;2020K4;5958
Billund;2020K4;26529
Esbjerg;2020K4;115498
Fanø;2020K4;3449
Fredericia;2020K4;51281
Haderslev;2020K4;55446
Kolding;2020K4;93092
Sønderborg;2020K4;73888
Tønder;2020K4;37122
Varde;2020K4;49671
Vejen;2020K4;42767
Vejle;2020K4;116665
Aabenraa;2020K4;58515
Region Midtjylland;2020K4;1330866
Favrskov;2020K4;48294
Hedensted;2020K4;46690
Horsens;2020K4;91764
Norddjurs;2020K4;36906
Odder;2020K4;22917
Randers;2020K4;98026
Samsø;2020K4;3666
Silkeborg;2020K4;94892
Skanderborg;2020K4;63144
Syddjurs;2020K4;43231
Aarhus;2020K4;353445
Herning;2020K4;89240
Holstebro;2020K4;58617
Ikast-Brande;2020K4;41376
Lemvig;2020K4;19594
Ringkøbing-Skjern;2020K4;56157
Skive;2020K4;45499
Struer;2020K4;20869
Viborg;2020K4;96539
Region Nordjylland;2020K4;590739
Brønderslev;2020K4;36183
Frederikshavn;2020K4;59187
Hjørring;2020K4;64213
Jammerbugt;2020K4;38288
Læsø;2020K4;1767
Mariagerfjord;2020K4;41543
Morsø;2020K4;20135
Rebild;2020K4;30438
Thisted;2020K4;43217
Vesthimmerlands;2020K4;36458
Aalborg;2020K4;219310
