CIVILSTAND;TID;INDHOLD
Ugift;2008K4;2568255
Ugift;2009K4;2588198
Ugift;2010K4;2610799
Ugift;2011K4;2634540
Ugift;2012K4;2657677
Ugift;2013K4;2681019
Ugift;2014K4;2709113
Ugift;2015K4;2744254
Ugift;2016K4;2780475
Ugift;2017K4;2806141
Ugift;2018K4;2827695
Ugift;2019K4;2845453
Ugift;2020K4;2859116
Gift/separeret;2008K4;2191033
Gift/separeret;2009K4;2193779
Gift/separeret;2010K4;2191517
Gift/separeret;2011K4;2183712
Gift/separeret;2012K4;2173196
Gift/separeret;2013K4;2165925
Gift/separeret;2014K4;2148451
Gift/separeret;2015K4;2146756
Gift/separeret;2016K4;2145540
Gift/separeret;2017K4;2145883
Gift/separeret;2018K4;2146813
Gift/separeret;2019K4;2149938
Gift/separeret;2020K4;2138124
Enke/enkemand;2008K4;314551
Enke/enkemand;2009K4;311126
Enke/enkemand;2010K4;308135
Enke/enkemand;2011K4;305106
Enke/enkemand;2012K4;302436
Enke/enkemand;2013K4;299501
Enke/enkemand;2014K4;297391
Enke/enkemand;2015K4;295150
Enke/enkemand;2016K4;293171
Enke/enkemand;2017K4;291174
Enke/enkemand;2018K4;289227
Enke/enkemand;2019K4;288226
Enke/enkemand;2020K4;287554
Fraskilt;2008K4;432156
Fraskilt;2009K4;439428
Fraskilt;2010K4;447258
Fraskilt;2011K4;455846
Fraskilt;2012K4;466356
Fraskilt;2013K4;477056
Fraskilt;2014K4;500795
Fraskilt;2015K4;513060
Fraskilt;2016K4;526340
Fraskilt;2017K4;535372
Fraskilt;2018K4;542280
Fraskilt;2019K4;543846
Fraskilt;2020K4;552419
